date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met,year,month,year_month,net_income
2019-01-01,1584,3119.58,3212.07,0.38,3676.11,inflation,721,0.56,125.77,689.22,3,510.58,68,0,857.55,1910.85,freelance,1501.65,investments,positive,8.3,low,0.0,0,2019,1,2019-01,-92.49000000000024
2019-01-31,1045,3262.44,3732.81,0.1,2607.17,inflation,670,0.42,454.19,360.34,4,1154.41,41,0,534.51,3165.2,salary,1603.17,investments,positive,22.6,low,0.0,0,2019,1,2019-01,-470.3699999999999
2019-03-02,1756,2931.2,3335.58,0.15,3004.14,inflation,691,0.24,971.82,0.0,5,1433.02,90,0,353.67,1504.56,freelance,1097.82,healthcare,positive,58.8,low,0.0,0,2019,3,2019-03,-404.3800000000001
2019-04-01,1724,3506.79,2327.59,0.17,3346.97,normal,717,0.16,482.76,182.06,5,227.37,94,0,594.08,1450.72,freelance,1155.64,groceries,positive,74.5,low,1179.2,0,2019,4,2019-04,1179.1999999999998
2019-05-01,1600,4606.87,2182.58,0.34,2670.09,inflation,795,0.25,263.74,342.78,9,589.81,73,0,556.86,1000.0,salary,1170.86,utilities,negative,38.7,high,2424.29,0,2019,5,2019-05,2424.29
2019-05-31,1985,4028.39,3876.57,0.26,2079.72,recession,643,0.43,323.2,451.11,8,1131.03,56,0,431.04,2330.01,salary,548.67,healthcare,positive,53.7,medium,151.82,0,2019,5,2019-05,151.8199999999997
2019-06-30,1194,4145.45,3035.61,0.15,2215.8,normal,683,0.3,609.88,730.42,8,995.12,69,0,443.5,2860.3,freelance,637.04,transportation,positive,74.7,high,1109.84,0,2019,6,2019-06,1109.8399999999997
2019-07-30,1600,3202.37,2689.51,0.25,3650.48,normal,655,0.24,524.64,224.15,4,732.71,65,0,602.88,3526.55,salary,1453.18,entertainment,neutral,83.1,medium,512.86,0,2019,7,2019-07,512.8599999999997
2019-08-29,1835,4765.11,2628.56,0.06,2813.81,normal,715,0.52,103.3,0.0,7,1623.05,99,0,733.67,2503.65,salary,1675.75,education,negative,71.6,low,2136.55,0,2019,8,2019-08,2136.5499999999997
2019-09-28,1454,3581.79,3370.8,0.13,2195.92,normal,749,0.52,643.48,261.39,9,1057.1,91,0,464.34,1691.26,salary,682.16,entertainment,positive,77.9,high,210.99,0,2019,9,2019-09,210.98999999999978
